 记录条数:63 2017_06_07 15:10:40 905  bin号:4 晶号:0 电压(V):2.897 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):496.4 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:64 2017_06_07 15:10:40 929  bin号:4 晶号:0 电压(V):2.900 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):496.3 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:65 2017_06_07 15:10:40 952  bin号:4 晶号:0 电压(V):2.891 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):496.3 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:66 2017_06_07 15:10:40 975  bin号:4 晶号:0 电压(V):2.892 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):496.3 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:67 2017_06_07 15:10:40 998  bin号:4 晶号:0 电压(V):2.898 反向漏电流(uA):0.3 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):496.3 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:68 2017_06_07 15:10:41 021  bin号:4 晶号:0 电压(V):2.892 反向漏电流(uA):0.3 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):496.3 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:69 2017_06_07 15:10:41 044  bin号:4 晶号:0 电压(V):2.895 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):496.3 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:70 2017_06_07 15:10:41 068  bin号:4 晶号:0 电压(V):2.894 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):495.3 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:71 2017_06_07 15:10:41 091  bin号:4 晶号:0 电压(V):2.893 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):496.2 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
 记录条数:72 2017_06_07 15:10:41 115  bin号:4 晶号:0 电压(V):2.892 反向漏电流(uA):0.2 色坐标(x,y):1.0100,0.0100 相关色温(K):1001 色差:-6.56E-001 主波长(nm):769.0 色纯度(%):100.0 峰值波长(nm):496.2 显色性指数:非数字 光通量(lm):1.00 辐射通量(mW):0.00 光效:0.00
